id,주제,theme,한국어,English,Espanol,中文
146,자기 믿음,Self-Belief,남의 성공이 당신의 실패를 뜻하지 않는다.,Someone else's success is not your failure.,El éxito ajeno no es tu fracaso.,别人的成功，不代表你的失败。
147,자기 믿음,Self-Belief,자기 신뢰는 작은 약속들의 누적이다.,Self-trust is the sum of small promises kept.,La confianza propia es la suma de pequeñas promesas cumplidas.,自我信任，是小承诺的累积。
148,자기 믿음,Self-Belief,당신의 이야기는 아직 절반도 쓰이지 않았다.,Your story is not even half written.,Tu historia aún no está ni a la mitad.,你的故事，还没写到一半。
149,자기 믿음,Self-Belief,자격은 주어지는 것이 아니라 만들어 가는 것이다.,Qualification is not granted; it is built.,La calificación no se otorga; se construye.,资格不是被赋予的，而是自己创造的。
150,자기 믿음,Self-Belief,스스로를 응원하는 사람이 끝까지 간다.,Those who cheer for themselves go the distance.,Quien se anima a sí mismo llega hasta el final.,为自己加油的人，才能走到最后。
151,성장과 배움,Growth,모르는 것을 인정하는 순간부터 배움이 시작된다.,Learning begins the moment you admit you do not know.,Aprender comienza al admitir que no sabes.,承认无知的那一刻，学习才开始。
152,성장과 배움,Growth,어제보다 나아졌다면 오늘은 성공한 날이다.,"If you are better than yesterday, today was a success.","Si eres mejor que ayer, hoy fue un éxito.",比昨天更好，今天就是成功的一天。
153,성장과 배움,Growth,불편함은 성장의 입구다.,Discomfort is the doorway to growth.,La incomodidad es la puerta del crecimiento.,不适，是成长的入口。
154,성장과 배움,Growth,질문의 크기가 성장의 크기를 정한다.,The size of your questions sets the size of your growth.,El tamaño de tus preguntas define tu crecimiento.,问题的大小，决定成长的大小。
155,성장과 배움,Growth,가르칠 때 가장 많이 배운다.,You learn the most when you teach.,Se aprende más cuando se enseña.,教的时候，学得最多。
156,성장과 배움,Growth,배움에는 정년이 없다.,Learning has no retirement age.,Aprender no tiene edad de jubilación.,学习没有退休年龄。
157,성장과 배움,Growth,아는 것과 하는 것 사이의 거리가 실력이다.,Skill is the distance between knowing and doing.,La habilidad es la distancia entre saber y hacer.,知与行之间的距离，就是实力。
158,성장과 배움,Growth,익숙한 곳에는 새로운 것이 없다.,Nothing new lives in familiar places.,En lo familiar no hay nada nuevo.,熟悉的地方，没有新东西。
159,성장과 배움,Growth,비판은 쓰지만 가장 빠른 지름길이다.,Criticism tastes bitter but is the shortest road.,"La crítica es amarga, pero es el camino más corto.",批评虽苦，却是最快的捷径。
160,성장과 배움,Growth,같은 책도 다른 시기에 읽으면 다른 책이 된다.,The same book read at a different time is a different book.,El mismo libro leído en otro momento es otro libro.,同一本书，在不同时期读，就是另一本书。
161,성장과 배움,Growth,성장은 직선이 아니라 계단이다.,Growth is not a line; it is a staircase.,El crecimiento no es una línea; es una escalera.,成长不是直线，而是台阶。
162,성장과 배움,Growth,배운 것을 써먹지 않으면 배운 것이 아니다.,Knowledge unused is knowledge unlearned.,El conocimiento sin uso no es conocimiento.,不去使用的知识，等于没学。
163,성장과 배움,Growth,나보다 나은 사람 곁에 있는 것이 가장 빠른 학습이다.,Standing beside better people is the fastest schooling.,Rodearte de gente mejor es la escuela más rápida.,与优秀的人为伍，是最快的学习。
164,성장과 배움,Growth,모방은 창조의 첫 번째 연습이다.,Imitation is creation's first exercise.,La imitación es el primer ejercicio de la creación.,模仿，是创造的第一次练习。
165,성장과 배움,Growth,초심자의 서투름은 부끄러움이 아니라 증거다.,A beginner's clumsiness is not shame but proof.,"La torpeza del principiante no es vergüenza, es prueba.",新手的笨拙不是羞耻，而是证明。
166,성장과 배움,Growth,피드백을 견디는 힘이 실력을 만든다.,The ability to absorb feedback builds skill.,La capacidad de aceptar críticas construye habilidad.,承受反馈的能力，造就实力。
167,성장과 배움,Growth,배움을 멈춘 순간부터 늙기 시작한다.,You begin to age the moment you stop learning.,Envejeces desde el instante en que dejas de aprender.,停止学习的那一刻，衰老就开始了。
168,성장과 배움,Growth,"깊이는 시간이 만들고, 넓이는 호기심이 만든다.",Time creates depth; curiosity creates breadth.,"El tiempo da profundidad; la curiosidad, amplitud.",时间造就深度，好奇造就广度。
169,성장과 배움,Growth,기록하지 않은 경험은 절반만 남는다.,Experience unrecorded is experience half kept.,La experiencia sin registrar se conserva a medias.,没有记录的经验，只留下一半。
170,성장과 배움,Growth,모든 전문성은 처음에 낯선 단어에서 시작했다.,Every expertise began as an unfamiliar word.,Toda especialidad empezó como una palabra desconocida.,所有专业，都始于一个陌生的词。
171,성장과 배움,Growth,배움은 채우는 일이자 비우는 일이다.,Learning is as much unlearning as it is filling.,Aprender es tanto vaciar como llenar.,学习既是填满，也是清空。
172,성장과 배움,Growth,어려운 책이 쉬운 책보다 오래 남는다.,A difficult book stays with you longer than an easy one.,Un libro difícil permanece más que uno fácil.,难读的书，比易读的书留得更久。
173,성장과 배움,Growth,성장하려면 잘하는 일 옆에 못하는 일을 두어야 한다.,"To grow, keep something you are bad at next to what you do well.","Para crecer, pon junto a lo que dominas algo que no dominas.",想成长，就要在擅长之事旁放上不擅长之事。
174,성장과 배움,Growth,오늘 이해한 것을 내일 설명할 수 있어야 진짜다.,You truly know it only if you can explain it tomorrow.,Solo lo sabes de verdad si puedes explicarlo mañana.,明天能讲出来，才算真懂。
175,성장과 배움,Growth,경험은 시간이 아니라 반성에서 온다.,"Experience comes from reflection, not from time.","La experiencia viene de la reflexión, no del tiempo.",经验来自反思，而非时间。
176,목표와 비전,Vision,목적지가 없으면 어떤 바람도 순풍이 아니다.,"Without a destination, no wind is a fair wind.","Sin destino, ningún viento es favorable.",没有目的地，任何风都不是顺风。
177,목표와 비전,Vision,목표는 종이에 적히는 순간 계획이 된다.,A goal becomes a plan the moment it is written down.,Una meta se vuelve plan al escribirse.,目标写在纸上的那一刻，就成了计划。
178,목표와 비전,Vision,큰 꿈은 작은 마감으로 이루어진다.,Big dreams are built from small deadlines.,Los grandes sueños se construyen con pequeños plazos.,大梦想由小截止日期构成。
179,목표와 비전,Vision,어디로 가는지 알면 속도는 문제가 되지 않는다.,"If you know where you are going, speed matters less.","Si sabes adónde vas, la velocidad importa menos.",知道去哪里，速度就不是问题。
180,목표와 비전,Vision,측정할 수 없는 목표는 소원일 뿐이다.,A goal you cannot measure is only a wish.,Una meta que no puedes medir es solo un deseo.,无法衡量的目标，只是愿望。
181,목표와 비전,Vision,목표를 낮추지 말고 방법을 바꿔라.,Do not lower the goal; change the method.,No bajes la meta; cambia el método.,不要降低目标，要改变方法。
182,목표와 비전,Vision,비전은 오늘의 고단함에 의미를 준다.,Vision gives meaning to today's hardship.,La visión da sentido a la dureza de hoy.,愿景，赋予今日辛劳以意义。
183,목표와 비전,Vision,남의 목표를 좇으면 도착해도 공허하다.,Chase another's goal and arrival feels empty.,Persigue la meta de otro y llegar te dejará vacío.,追逐别人的目标，到达也会空虚。
184,목표와 비전,Vision,"목표는 방향이고, 습관은 엔진이다.",Goals give direction; habits give the engine.,"Las metas dan dirección; los hábitos, el motor.",目标是方向，习惯是引擎。
185,목표와 비전,Vision,10년 뒤를 생각하면 오늘의 선택이 쉬워진다.,Think ten years ahead and today's choice gets easy.,Piensa en diez años y la decisión de hoy será fácil.,想想十年后，今天的选择就容易了。
186,목표와 비전,Vision,많은 목표는 목표가 없는 것과 같다.,Too many goals is the same as none.,Demasiadas metas equivalen a ninguna.,目标太多，等于没有目标。
187,목표와 비전,Vision,이루고 싶은 것보다 되고 싶은 사람을 먼저 정하라.,Decide who you want to be before what you want to have.,Decide quién quieres ser antes de qué quieres tener.,先决定想成为谁，再决定想得到什么。
188,목표와 비전,Vision,계획은 바뀌어도 방향은 유지하라.,"Let the plan change, but keep the direction.","Deja que el plan cambie, pero mantén el rumbo.",计划可以变，方向要坚持。
189,목표와 비전,Vision,눈에 보이는 목표가 눈에 보이는 결과를 만든다.,A visible goal produces visible results.,Una meta visible produce resultados visibles.,看得见的目标，带来看得见的结果。
190,목표와 비전,Vision,도달할 수 없어 보이는 목표만이 사람을 키운다.,Only goals that look unreachable grow a person.,Solo las metas que parecen inalcanzables te hacen crecer.,唯有看似遥不可及的目标，才能造就一个人。
191,목표와 비전,Vision,목표를 쪼개면 두려움도 함께 쪼개진다.,Break the goal apart and the fear breaks with it.,Divide la meta y el miedo se divide con ella.,把目标拆开，恐惧也随之拆开。
192,목표와 비전,Vision,성취한 뒤가 아니라 정한 순간부터 달라진다.,"You change the moment you decide, not after you achieve.","Cambias al decidir, no al lograr.",改变始于决定的那一刻，而非达成之后。
193,목표와 비전,Vision,목표 없는 노력은 물레방아처럼 제자리를 돈다.,Effort without a goal turns in place like a mill wheel.,El esfuerzo sin meta gira en el sitio como una rueda.,没有目标的努力，像水车般原地打转。
194,목표와 비전,Vision,가장 위험한 목표는 너무 쉬운 목표다.,The most dangerous goal is one that is too easy.,La meta más peligrosa es la demasiado fácil.,最危险的目标，是太容易的目标。
195,목표와 비전,Vision,목표를 공개하면 책임이 따라온다.,Announce your goal and accountability follows.,Anuncia tu meta y llegará la responsabilidad.,公开目标，责任随之而来。
196,목표와 비전,Vision,매일의 목표가 평생의 목표를 지탱한다.,Daily goals hold up a lifetime goal.,Las metas diarias sostienen la meta de una vida.,每日的目标，支撑一生的目标。
197,목표와 비전,Vision,무엇을 원하는지 모르면 무엇을 얻어도 부족하다.,"If you do not know what you want, nothing will be enough.","Si no sabes qué quieres, nada te bastará.",不知道想要什么，得到什么都不够。
198,목표와 비전,Vision,"목표는 지도이고, 실행은 신발이다.",The goal is a map; execution is a pair of shoes.,"La meta es el mapa; la ejecución, los zapatos.",目标是地图，执行是鞋子。
199,목표와 비전,Vision,끝을 그려 놓고 시작하라.,Picture the ending before you begin.,Imagina el final antes de empezar.,先描绘结局，再开始出发。
200,목표와 비전,Vision,이루지 못한 목표도 당신을 어딘가로 데려간다.,Even an unreached goal takes you somewhere.,Incluso una meta no alcanzada te lleva a algún lugar.,即使没达成的目标，也会带你到某处。
201,용기와 두려움,Courage,용기는 두려움이 없는 상태가 아니라 두려움과 함께 걷는 것이다.,Courage is not the absence of fear but walking with it.,"El valor no es ausencia de miedo, sino caminar con él.",勇气不是没有恐惧，而是带着恐惧前行。
202,용기와 두려움,Courage,가장 큰 위험은 아무 위험도 감수하지 않는 것이다.,The greatest risk is taking none at all.,El mayor riesgo es no arriesgar nada.,最大的风险，是不冒任何风险。
203,용기와 두려움,Courage,두려움은 대개 상상 속에서만 존재한다.,Fear usually lives only in the imagination.,El miedo suele vivir solo en la imaginación.,恐惧大多只存在于想象之中。
204,용기와 두려움,Courage,피하고 싶은 그 일이 대개 해야 할 일이다.,The thing you want to avoid is usually the thing to do.,Lo que quieres evitar suele ser lo que debes hacer.,你想逃避的事，往往正是该做的事。
205,용기와 두려움,Courage,용기는 근육처럼 쓸수록 커진다.,Courage grows like muscle with use.,"El valor crece con el uso, como un músculo.",勇气如肌肉，越用越强。
206,용기와 두려움,Courage,거절당하는 것은 사라지는 것이 아니다.,Being rejected is not being erased.,Ser rechazado no es desaparecer.,被拒绝，并不等于被抹去。
207,용기와 두려움,Courage,물어보지 않으면 답은 언제나 아니오다.,"If you never ask, the answer is always no.","Si no preguntas, la respuesta siempre es no.",不开口问，答案永远是不。
208,용기와 두려움,Courage,두려움을 말로 꺼내면 절반이 사라진다.,Say your fear out loud and half of it leaves.,Di tu miedo en voz alta y la mitad se irá.,把恐惧说出口，一半就消失了。
209,용기와 두려움,Courage,안전지대는 편안하지만 아무것도 자라지 않는다.,"The comfort zone is pleasant, but nothing grows there.","La zona de confort es cómoda, pero allí nada crece.",舒适区很舒服，却什么都长不出来。
210,용기와 두려움,Courage,후회는 실패보다 오래간다.,Regret lasts longer than failure.,El arrepentimiento dura más que el fracaso.,后悔比失败持续得更久。
211,용기와 두려움,Courage,용기는 크게 소리치는 것이 아니라 조용히 다시 하는 것이다.,Courage is not a shout; it is quietly trying again.,El valor no es un grito; es intentarlo otra vez en silencio.,勇气不是大喊，而是安静地再试一次。
212,용기와 두려움,Courage,모르는 길에서만 새로운 풍경을 본다.,Only unknown roads show you new scenery.,Solo los caminos desconocidos ofrecen paisajes nuevos.,只有陌生的路，才有新的风景。
213,용기와 두려움,Courage,남의 시선은 당신의 인생 비용을 내주지 않는다.,Other people's opinions do not pay for your life.,Las opiniones ajenas no pagan tu vida.,别人的目光，不会替你承担人生的代价。
214,용기와 두려움,Courage,불확실함을 견디는 능력이 기회를 만든다.,The ability to sit with uncertainty creates opportunity.,Tolerar la incertidumbre crea oportunidades.,承受不确定的能力，创造机会。
215,용기와 두려움,Courage,한 번 용기를 내면 다음 용기는 쉬워진다.,Be brave once and the next time is easier.,Sé valiente una vez y la próxima será más fácil.,勇敢一次，下一次就容易了。
216,용기와 두려움,Courage,두려움은 나침반이다. 가리키는 곳에 성장이 있다.,Fear is a compass; growth lies where it points.,El miedo es una brújula; el crecimiento está donde apunta.,恐惧是指南针，它所指之处便是成长。
217,용기와 두려움,Courage,위험을 계산하되 두려움에 굴복하지는 마라.,"Calculate the risk, but do not surrender to the fear.","Calcula el riesgo, pero no te rindas al miedo.",计算风险，但不要屈服于恐惧。
218,용기와 두려움,Courage,겁이 나는데도 한 걸음 내딛는 것이 성장이다.,Growth is stepping forward while still afraid.,Crecer es avanzar aun teniendo miedo.,害怕却仍迈出一步，就是成长。
219,용기와 두려움,Courage,아무도 도전하지 않은 자리에 가장 큰 공간이 있다.,The biggest room is where no one has dared to go.,El mayor espacio está donde nadie se ha atrevido.,无人挑战之处，空间最大。
220,용기와 두려움,Courage,실패보다 시도조차 하지 않은 날들이 더 아프다.,Days you never tried hurt more than days you failed.,Duelen más los días sin intentar que los de fracaso.,没有尝试的日子，比失败更让人痛。
221,용기와 두려움,Courage,용기는 확신이 아니라 결심에서 나온다.,"Courage comes from decision, not from certainty.","El valor nace de la decisión, no de la certeza.",勇气源于决心，而非确信。
222,용기와 두려움,Courage,약해 보이는 것을 두려워하면 강해질 수 없다.,Fear looking weak and you will never grow strong.,"Si temes parecer débil, nunca serás fuerte.",害怕显得软弱，就无法变强。
223,용기와 두려움,Courage,모든 큰 변화는 불편한 대화에서 시작된다.,Every great change begins with an uncomfortable conversation.,Todo gran cambio empieza con una conversación incómoda.,所有重大改变，都始于一场不舒服的对话。
224,용기와 두려움,Courage,두려움에 이름을 붙이면 크기가 줄어든다.,Name your fear and it shrinks.,Ponle nombre al miedo y se encogerá.,给恐惧命名，它就会变小。
225,용기와 두려움,Courage,용기 있는 하루가 평범한 일 년보다 길다.,One brave day is longer than an ordinary year.,Un día valiente es más largo que un año corriente.,勇敢的一天，比平庸的一年更长。
226,태도와 마인드셋,Mindset,같은 상황도 해석에 따라 다른 결과를 만든다.,The same situation yields different results depending on how you read it.,La misma situación da resultados distintos según cómo la interpretes.,同样的处境，解读不同，结果不同。
227,태도와 마인드셋,Mindset,아직 못 한다는 말 뒤에 아직이라는 단어를 붙여라.,Add the word yet to every I cannot do this.,Añade la palabra todavía a cada no puedo.,在做不到后面，加上还字。
228,태도와 마인드셋,Mindset,문제를 문제로만 보면 문제만 남는다.,See a problem only as a problem and only the problem stays.,"Si ves un problema solo como problema, solo queda el problema.",只把问题看作问题，剩下的就只有问题。
229,태도와 마인드셋,Mindset,태도는 능력보다 먼저 눈에 띈다.,Attitude is noticed before ability.,La actitud se nota antes que la capacidad.,态度比能力更先被看见。
230,태도와 마인드셋,Mindset,불평은 상황을 바꾸지 못하고 에너지만 가져간다.,Complaining changes nothing and takes your energy.,Quejarse no cambia nada y te roba energía.,抱怨改变不了处境，只会消耗能量。
231,태도와 마인드셋,Mindset,통제할 수 있는 것에만 감정을 쓰라.,Spend your emotion only on what you can control.,Gasta tus emociones solo en lo que puedes controlar.,只把情绪花在你能掌控的事上。
232,태도와 마인드셋,Mindset,운은 준비된 태도 위에 내려앉는다.,Luck settles on a prepared attitude.,La suerte se posa sobre una actitud preparada.,运气，落在有准备的态度之上。
233,태도와 마인드셋,Mindset,모든 일이 나에게 유리하게 흘러가지 않아도 괜찮다.,"Not everything has to go your way, and that is fine.","No todo tiene que salir a tu favor, y está bien.",不是所有事都要顺你的意，这没关系。
234,태도와 마인드셋,Mindset,생각의 방향이 발의 방향을 정한다.,The direction of your thoughts sets the direction of your feet.,La dirección de tus pensamientos guía tus pasos.,思想的方向，决定脚步的方向。
235,태도와 마인드셋,Mindset,겸손은 배움의 문을 열어 두는 일이다.,Humility keeps the door of learning open.,La humildad mantiene abierta la puerta del aprendizaje.,谦逊，是让学习之门保持敞开。
236,태도와 마인드셋,Mindset,남 탓을 멈추는 순간 힘이 돌아온다.,Power returns the moment you stop blaming others.,El poder vuelve cuando dejas de culpar a otros.,停止责怪他人的那一刻，力量就回来了。
237,태도와 마인드셋,Mindset,기대를 낮추면 실망도 줄고 노력도 준다.,Lower your expectations and both disappointment and effort shrink.,Baja tus expectativas y bajarán la decepción y el esfuerzo.,降低期待，失望减少，努力也会减少。
238,태도와 마인드셋,Mindset,긍정은 현실을 외면하는 것이 아니라 해법을 찾는 것이다.,Optimism is not ignoring reality; it is looking for a way.,El optimismo no ignora la realidad; busca una salida.,乐观不是无视现实，而是寻找出路。
239,태도와 마인드셋,Mindset,배우려는 사람에게는 모든 사람이 스승이다.,"To one who wants to learn, everyone is a teacher.","Para quien quiere aprender, todos son maestros.",对想学的人来说，人人都是老师。
240,태도와 마인드셋,Mindset,결과보다 과정을 사랑하면 오래 간다.,Love the process more than the result and you will last.,Ama el proceso más que el resultado y durarás.,爱过程胜过爱结果，才能长久。
241,태도와 마인드셋,Mindset,말버릇이 인생의 방향을 만든다.,The words you habitually use shape your life.,Las palabras que repites moldean tu vida.,口头禅塑造人生的方向。
242,태도와 마인드셋,Mindset,여유는 시간이 아니라 마음의 문제다.,"Ease is a matter of mind, not of time.","La calma es cuestión de mente, no de tiempo.",从容不是时间问题，而是心的问题。
243,태도와 마인드셋,Mindset,나쁜 하루가 나쁜 인생을 뜻하지는 않는다.,A bad day does not mean a bad life.,Un mal día no significa una mala vida.,糟糕的一天，不等于糟糕的人生。
244,태도와 마인드셋,Mindset,받아들일 것과 바꿀 것을 구분하는 것이 지혜다.,Wisdom is knowing what to accept and what to change.,La sabiduría es saber qué aceptar y qué cambiar.,智慧，是分清什么该接受、什么该改变。
245,태도와 마인드셋,Mindset,화를 내는 데 쓴 시간은 해결에 쓰지 못한 시간이다.,Time spent angry is time not spent solving.,El tiempo enfadado es tiempo que no resuelve.,花在生气上的时间，就是没用来解决的时间。
246,태도와 마인드셋,Mindset,가진 것을 세는 사람이 더 많이 갖게 된다.,Those who count what they have end up with more.,Quien cuenta lo que tiene termina teniendo más.,数算所有的人，最终拥有更多。
247,태도와 마인드셋,Mindset,성숙은 반응 대신 선택하는 능력이다.,Maturity is choosing instead of reacting.,La madurez es elegir en vez de reaccionar.,成熟，是选择而非反应的能力。
248,태도와 마인드셋,Mindset,모르는 것을 부끄러워하지 말고 묻지 않는 것을 부끄러워하라.,Do not be ashamed of not knowing; be ashamed of not asking.,No te avergüence ignorar; avergüénzate de no preguntar.,不要以无知为耻，要以不问为耻。
249,태도와 마인드셋,Mindset,어려운 일을 맡았다는 건 신뢰받고 있다는 뜻이다.,Being handed the hard task means you are trusted.,Que te den la tarea difícil significa que confían en ti.,接到难题，说明你被信任。
250,태도와 마인드셋,Mindset,생각을 바꾸면 세상이 바뀌는 것이 아니라 보이는 것이 바뀐다.,Change your thinking and what changes is what you see.,Cambia tu forma de pensar y cambiará lo que ves.,改变想法，改变的不是世界，而是你所看见的。
251,실행과 행동,Action,아이디어는 흔하고 실행은 드물다.,Ideas are common; execution is rare.,Las ideas abundan; la ejecución escasea.,想法很多，执行很少。
252,실행과 행동,Action,생각만 하는 사람과 하는 사람의 차이는 하루면 드러난다.,One day is enough to reveal who thinks and who does.,Un día basta para saber quién piensa y quién actúa.,一天，就足以看出谁在想、谁在做。
253,실행과 행동,Action,움직이는 배만 방향을 바꿀 수 있다.,Only a moving ship can change course.,Solo un barco en movimiento puede cambiar de rumbo.,只有行驶中的船，才能改变方向。
254,실행과 행동,Action,초안이 걸작보다 낫다. 존재하기 때문이다.,A draft beats a masterpiece because it exists.,Un borrador vence a una obra maestra porque existe.,草稿胜过杰作，因为它存在。
255,실행과 행동,Action,완벽주의는 게으름의 가장 우아한 변명이다.,Perfectionism is laziness in its most elegant disguise.,El perfeccionismo es la pereza mejor disfrazada.,完美主义，是懒惰最优雅的借口。
256,실행과 행동,Action,오늘의 실행이 내일의 자신감이다.,Today's action is tomorrow's confidence.,La acción de hoy es la confianza de mañana.,今天的行动，是明天的自信。
257,실행과 행동,Action,결정을 미루는 것도 결정이다.,Delaying a decision is also a decision.,Aplazar una decisión también es decidir.,拖延决定，也是一种决定。
258,실행과 행동,Action,한 시간의 실행이 한 달의 계획보다 많은 것을 알려 준다.,An hour of doing teaches more than a month of planning.,Una hora de acción enseña más que un mes de planes.,一小时的行动，胜过一个月的计划。
259,실행과 행동,Action,작게 시작하고 빠르게 고쳐라.,Start small and correct quickly.,Empieza pequeño y corrige rápido.,小处开始，快速修正。
260,실행과 행동,Action,말은 계획을 만들고 행동은 결과를 만든다.,Words make plans; actions make results.,"Las palabras hacen planes; los actos, resultados.",语言造就计划，行动造就结果。
261,실행과 행동,Action,하려는 마음보다 하고 있는 손이 낫다.,Working hands beat willing minds.,Vale más una mano que trabaja que una mente que quiere.,正在做的手，胜过想做的心。
262,실행과 행동,Action,시도한 뒤에야 무엇이 문제인지 알 수 있다.,Only after you try do you learn what the problem is.,Solo tras intentarlo sabes cuál es el problema.,只有尝试之后，才知道问题在哪。
263,실행과 행동,Action,고민의 90퍼센트는 실행하면 사라진다.,Ninety percent of worry disappears once you act.,El noventa por ciento de las dudas desaparece al actuar.,九成的烦恼，一行动就消失了。
264,실행과 행동,Action,아무도 당신의 계획을 대신 실행해 주지 않는다.,No one will execute your plan for you.,Nadie ejecutará tu plan por ti.,没有人会替你执行你的计划。
265,실행과 행동,Action,시작 버튼은 언제나 손 안에 있다.,The start button is always in your own hand.,El botón de inicio siempre está en tu mano.,开始的按钮，永远在你手里。
266,실행과 행동,Action,출시하지 않은 제품은 존재하지 않는 제품이다.,A product not shipped is a product that does not exist.,Un producto sin lanzar es un producto que no existe.,没有发布的产品，就是不存在的产品。
267,실행과 행동,Action,다섯 번 생각하고 한 번 움직이면 늦는다.,Think five times and move once and you are late.,"Piensa cinco veces y actúa una, y llegarás tarde.",想五次动一次，就太慢了。
268,실행과 행동,Action,행동은 불안을 이기는 유일한 약이다.,Action is the only cure for anxiety.,La acción es la única cura para la ansiedad.,行动，是战胜焦虑唯一的良药。
269,실행과 행동,Action,끝내는 사람이 시작하는 사람보다 귀하다.,Finishers are rarer than starters.,Quien termina es más valioso que quien empieza.,完成的人，比开始的人更珍贵。
270,실행과 행동,Action,작은 실행이 큰 확신을 이긴다.,A small action beats a large conviction.,Una pequeña acción vence a una gran convicción.,小小的行动，胜过巨大的信念。
271,실행과 행동,Action,일단 내놓아라. 완성은 반응 속에서 이루어진다.,Put it out first; completion happens in the feedback.,Publícalo primero; se completa con las reacciones.,先拿出来，完善在反馈中发生。
272,실행과 행동,Action,기록으로만 남은 아이디어는 죽은 아이디어다.,An idea left only in notes is a dead idea.,Una idea que solo vive en notas está muerta.,只留在笔记里的想法，是死的想法。
273,실행과 행동,Action,해 보기 전까지 어려움은 언제나 과장된다.,Difficulty is always exaggerated until you try.,La dificultad siempre se exagera hasta que lo intentas.,在尝试之前，困难总是被夸大。
274,실행과 행동,Action,바로 지금이 언제나 가장 좋은 타이밍이다.,Right now is always the best timing.,Ahora mismo siempre es el mejor momento.,此刻，永远是最好的时机。
275,실행과 행동,Action,하루에 하나만 끝내도 일 년이면 삼백육십다섯 개다.,Finish one thing a day and you finish three hundred sixty five a year.,Termina una cosa al día y serán trescientas sesenta y cinco al año.,每天完成一件，一年就是三百六十五件。
276,집중과 몰입,Focus,주의를 흩뜨리는 것을 줄이는 것이 능력을 키우는 것보다 빠르다.,Removing distraction is faster than adding ability.,Quitar distracciones es más rápido que sumar habilidad.,减少干扰，比提升能力更快。
277,집중과 몰입,Focus,한 가지에 집중한 한 시간이 산만한 하루를 이긴다.,One focused hour beats a scattered day.,Una hora concentrada vence a un día disperso.,专注的一小时，胜过散漫的一天。
278,집중과 몰입,Focus,모든 것을 하려는 사람은 아무것도 깊이 하지 못한다.,Whoever tries everything goes deep in nothing.,Quien lo intenta todo no profundiza en nada.,什么都想做的人，什么都做不深。
279,집중과 몰입,Focus,집중은 재능이 아니라 훈련이다.,Focus is not a talent; it is training.,La concentración no es talento; es entrenamiento.,专注不是天赋，而是训练。
280,집중과 몰입,Focus,알림을 끄는 것이 의지력을 기르는 것보다 쉽다.,Turning off notifications is easier than building willpower.,Apagar las notificaciones es más fácil que forjar voluntad.,关掉通知，比锻炼意志更容易。
281,집중과 몰입,Focus,깊이 있는 결과는 방해받지 않은 시간에서 나온다.,Deep results come from uninterrupted time.,Los resultados profundos nacen del tiempo sin interrupciones.,深刻的成果，来自不被打扰的时间。
282,집중과 몰입,Focus,멀티태스킹은 여러 가지를 못하는 가장 빠른 방법이다.,Multitasking is the fastest way to do many things badly.,La multitarea es el modo más rápido de hacer todo mal.,多任务，是把多件事都做砸的最快方式。
283,집중과 몰입,Focus,책상 위의 어수선함은 머릿속의 어수선함이다.,Clutter on the desk is clutter in the mind.,El desorden del escritorio es desorden mental.,桌面的杂乱，就是头脑的杂乱。
284,집중과 몰입,Focus,시작하는 데 필요한 건 의욕이 아니라 5분이다.,What you need to begin is not motivation but five minutes.,"Para empezar no necesitas motivación, sino cinco minutos.",开始所需的不是动力，而是五分钟。
285,집중과 몰입,Focus,몰입은 자신을 잊는 순간에 찾아온다.,Flow arrives the moment you forget yourself.,El flujo llega cuando te olvidas de ti mismo.,心流，在忘我的瞬间到来。
286,집중과 몰입,Focus,하나를 끝내고 다음으로 넘어가는 사람이 가장 빠르다.,"Finish one, then move on: that is the fastest way.",Termina uno y pasa al siguiente: es lo más rápido.,做完一件再做下一件，才最快。
287,집중과 몰입,Focus,집중력은 저장되지 않는다. 오늘 써야 한다.,Attention cannot be saved; it must be spent today.,La atención no se guarda; hay que gastarla hoy.,专注力无法储存，必须今天使用。
288,집중과 몰입,Focus,중요한 일에는 방해받지 않을 권리가 있다.,Important work has the right not to be interrupted.,El trabajo importante tiene derecho a no ser interrumpido.,重要的工作，有不被打扰的权利。
289,집중과 몰입,Focus,선택지가 적을수록 더 멀리 간다.,"The fewer the options, the farther you go.","Cuantas menos opciones, más lejos llegas.",选项越少，走得越远。
290,집중과 몰입,Focus,잘하는 일 하나가 그럭저럭한 일 열보다 낫다.,One thing done well beats ten done adequately.,Una cosa bien hecha vale más que diez a medias.,一件做好的事，胜过十件凑合的事。
291,집중과 몰입,Focus,주의는 가장 값비싼 자산이다.,Attention is your most expensive asset.,La atención es tu activo más caro.,注意力，是最昂贵的资产。
292,집중과 몰입,Focus,잠깐의 확인이 한 시간의 흐름을 끊는다.,A quick check breaks an hour of flow.,Una revisión rápida rompe una hora de concentración.,随手一看，打断一小时的心流。
293,집중과 몰입,Focus,고요함 속에서 가장 좋은 생각이 태어난다.,The best thoughts are born in quiet.,Las mejores ideas nacen en el silencio.,最好的想法，诞生于安静之中。
294,집중과 몰입,Focus,무엇을 볼지 정하는 것이 무엇을 얻을지 정하는 것이다.,Choosing what to look at is choosing what you will get.,Elegir qué mirar es elegir qué obtendrás.,决定看什么，就是决定得到什么。
295,집중과 몰입,Focus,산만함은 실패가 아니라 설계의 문제다.,Distraction is not a failure of will but of design.,"La distracción no es falta de voluntad, sino de diseño.",分心不是失败，而是设计问题。
